director,genre,level,rating,runtime,studio,time,title,url,writer
Hamilton LuskeClyde GeronimiWilfred Jackson,AnimationDramaKids & Family,G,93%,76 minutes,Buena Vista Pictures,"Jun 22, 1955",Lady and the Tramp,https://www.rottentomatoes.com/m/lady_and_the_tramp,Ward GreeneRalph WrightDon DaGradiErdman PennerJoe Rinaldi
George Stevens,ClassicsDramaWesternRomance,G,95%,197 minutes,Warner Bros. Pictures,"Nov 24, 1956",Giant,https://www.rottentomatoes.com/m/giant,Fred GuiolIvan Moffat
Jules Dassin,Art House & InternationalDrama,NR,94%,115 minutes,Rialto Pictures,"Jun 5, 1956",Rififi (Du Rififi Chez les Hommes),https://www.rottentomatoes.com/m/rififi,Auguste Le BretonRené WheelerJules Dassin
Ingmar Bergman,Drama,NR,95%,90 minutes,Janus Films,"Dec 26, 1957",Wild Strawberries,https://www.rottentomatoes.com/m/wild_strawberries,Ingmar Bergman
Louis Malle,Art House & InternationalDramaMystery & SuspenseRomance,NR,93%,92 minutes,Rialto Pictures,"Jun 24, 1958",Elevator to the Gallows (Ascenseur pour l'échafaud),https://www.rottentomatoes.com/m/elevator_to_the_gallows,Louis Malle
William Wyler,Action & AdventureClassicsDramaRomance,G,87%,222 minutes,MGM,"Nov 18, 1959",Ben-Hur,https://www.rottentomatoes.com/m/benhur,Karl Tunberg
Michelangelo Antonioni,Art House & InternationalClassicsDramaMystery & Suspense,NR,95%,145 minutes,Janus Films,"Jun 29, 1960",L'Avventura,https://www.rottentomatoes.com/m/lavventura,Michelangelo AntonioniElio BartoliniTonino Guerra
Blake Edwards,ClassicsComedyDramaRomance,NR,88%,115 minutes,Paramount Pictures,"Oct 5, 1961",Breakfast at Tiffany's,https://www.rottentomatoes.com/m/breakfast_at_tiffanys,George Axelrod
Robert Mulligan,ClassicsDrama,NR,91%,130 minutes,Universal International Pictur,"Dec 25, 1962",To Kill A Mockingbird,https://www.rottentomatoes.com/m/to_kill_a_mockingbird,Horton Foote
Fred Zinnemann,ClassicsDramaRomance,G,92%,118 minutes,NCM Fathom,"Aug 5, 1953",From Here to Eternity,https://www.rottentomatoes.com/m/1007931_from_here_to_eternity,Daniel Taradash
Robert Aldrich,ClassicsCult MoviesDramaHorrorMystery & Suspense,NR,92%,132 minutes,Warner Bros. Pictures,"Oct 31, 1962",What Ever Happened to Baby Jane?,https://www.rottentomatoes.com/m/what_ever_happened_to_baby_jane,Lukas Heller
Michael Curtiz,ClassicsKids & FamilyMusical & Performing ArtsSpecial Interest,G,76%,120 minutes,Paramount Pictures,"Jan 1, 1954",White Christmas,https://www.rottentomatoes.com/m/1023543_white_christmas,Norman KrasnaMelvin FrankNorman Panama
John Ford,Action & AdventureClassicsWestern,G,93%,123 minutes,Paramount Home Video,"May 28, 1962",The Man Who Shot Liberty Valance,https://www.rottentomatoes.com/m/man_who_shot_liberty_valance,James Warner BellahWillis Goldbeck
Terence Young,Action & AdventureClassicsMystery & Suspense,PG,96%,111 minutes,United Artists,"Oct 5, 1962",Dr. No,https://www.rottentomatoes.com/m/dr_no,Berkeley MatherRichard MaibaumJohanna HarwoodBerkely MatherBerkley Mather
Georges Franju,Art House & InternationalDramaHorrorMystery & Suspense,NR,98%,84 minutes,Criterion Collection,"Oct 24, 1962",Eyes Without a Face,https://www.rottentomatoes.com/m/eyes_without_a_face_1962,Pierre BoileauThomas NarcejacClaude SautetPierre GascarJean Redon
David Lean,Action & AdventureClassicsDrama,PG (N/A),98%,222 minutes,Columbia Pictures,"Dec 16, 1962",Lawrence of Arabia,https://www.rottentomatoes.com/m/lawrence_of_arabia,Robert BoltMichael Wilson
Alain ResnaisAlain Robbe-Grillet,Science Fiction & FantasySpecial Interest,NR,94%,93 minutes,Terra,"Jun 25, 1961",L'année dernière à Marienbad (Last Year at Marienbad),https://www.rottentomatoes.com/m/lannee_derniere_a_marienbad_1961,Alain Robbe-Grillet
Robert WiseJerome Robbins,DramaMusical & Performing ArtsRomance,PG,94%,151 minutes,United Artists Films,"Oct 18, 1961",West Side Story,https://www.rottentomatoes.com/m/west_side_story,Ernest Lehman
John Sturges,Action & AdventureClassicsDramaWestern,R,88%,126 minutes,MGM Home Entertainment,"Jan 1, 1960",The Magnificent Seven,https://www.rottentomatoes.com/m/1013077_magnificent_seven,Walter BernsteinWalter NewmanWilliam Roberts
Robert Rossen,DramaRomance,NR,98%,134 minutes,Fox,"Sep 25, 1961",The Hustler,https://www.rottentomatoes.com/m/hustler,Sidney CarrollRobert Rossen
Clyde GeronimiHamilton S. LuskeWolfgang ReithermanHamilton Luske,AnimationClassicsComedyKids & FamilyMystery & Suspense,G,98%,79 minutes,Buena Vista,"Jan 25, 1961",101 Dalmatians,https://www.rottentomatoes.com/m/101_dalmatians,Bill Peet
Jean-Luc Godard,Drama,R (for some bloody violence),97%,90 minutes,Rialto Pictures,"Feb 7, 1961",Breathless,https://www.rottentomatoes.com/m/breathless,Jean-Luc Godard
Michael Powell,ClassicsDramaMystery & Suspense,R,96%,109 minutes,Astor Pictures Corporation,"Apr 7, 1960",Peeping Tom,https://www.rottentomatoes.com/m/peeping_tom_1960,Leo Marks
Federico Fellini,Art House & InternationalComedyDrama,NR,97%,174 minutes,American International Picture,"Jan 1, 1960",La Dolce Vita,https://www.rottentomatoes.com/m/dolce_vita,Brunello RondiEnnio FlaianoTullio PinelliFederico FelliniPier Paolo Pasolini
Stanley Kubrick,ClassicsComedyDrama,NR,95%,152 minutes,MGM,"Jun 13, 1962",Lolita,https://www.rottentomatoes.com/m/1012611_lolita,Vladimir Nabokov
Alfred Hitchcock,ClassicsHorrorMystery & Suspense,"R (adult situations/language, violence)",97%,109 minutes,Paramount Pictures,"Jun 16, 1960",Psycho,https://www.rottentomatoes.com/m/psycho,Joseph Stefano
John HustonBilly Wilder,ClassicsComedyDramaMusical & Performing Arts,G,96%,120 minutes,United Artists,"Mar 29, 1959",Some Like It Hot,https://www.rottentomatoes.com/m/some_like_it_hot,Billy WilderI.A.L. Diamond
John Frankenheimer,ClassicsDramaMystery & Suspense,PG-13 (Previously rated in (62)),98%,127 minutes,MGM/UA Classics,"Oct 24, 1962",The Manchurian Candidate,https://www.rottentomatoes.com/m/1013227_manchurian_candidate,George Axelrod
Howard Hawks,Action & AdventureClassicsWestern,R,100%,142 minutes,Xenon,"Apr 4, 1959",Rio Bravo,https://www.rottentomatoes.com/m/rio_bravo,Jules FurthmanLeigh Brackett
Jack Clayton,Horror,NR,96%,100 minutes,Fox,"Dec 25, 1961",The Innocents,https://www.rottentomatoes.com/m/1099622_innocents,Henry JamesWilliam ArchibaldTruman CapoteJohn Mortimer
François Truffaut,Art House & InternationalClassicsDrama,NR,100%,97 minutes,Zenith International Films,"Nov 16, 1959",The 400 Blows (Les Quatre cents coups),https://www.rottentomatoes.com/m/400_blows,François TruffautMarcel Moussy
Alfred Hitchcock,ClassicsDramaMystery & SuspenseRomance,PG (violence),96%,128 minutes,Paramount Pictures,"Jan 1, 1958",Vertigo,https://www.rottentomatoes.com/m/vertigo,Samuel W. TaylorSamuel A. TaylorAlec Coppel
Ingmar Bergman,Action & AdventureArt House & InternationalClassicsDramaScience Fiction & Fantasy,NR,93%,96 minutes,Janus Films,"Feb 16, 1957",The Seventh Seal (Det Sjunde inseglet),https://www.rottentomatoes.com/m/seventh_seal,Ingmar Bergman
Billy Wilder,ClassicsComedyDramaRomance,NR,94%,125 minutes,United Artists,"Jun 15, 1960",The Apartment,https://www.rottentomatoes.com/m/1001115_apartment,Billy WilderI.A.L. Diamond
Stanley Kubrick,Action & AdventureClassicsDrama,PG-13,96%,184 minutes,Universal Pictures,"Oct 7, 1960",Spartacus,https://www.rottentomatoes.com/m/1019544_spartacus,Dalton Trumbo
David Lean,Action & AdventureClassicsDrama,PG (N/A),95%,161 minutes,Columbia Pictures,"Oct 2, 1957",The Bridge on the River Kwai,https://www.rottentomatoes.com/m/bridge_on_the_river_kwai,Michael WilsonCarl Foreman
Stanley Kubrick,Action & AdventureClassicsDrama,G,95%,86 minutes,United Artists,"Dec 25, 1957",Paths of Glory,https://www.rottentomatoes.com/m/paths_of_glory,Calder WillinghamJim ThompsonStanley Kubrick
Akira Kurosawa,Action & AdventureArt House & InternationalClassicsDrama,NR,98%,105 minutes,Media Home Entertainment,"Jan 1, 1957",Throne of Blood,https://www.rottentomatoes.com/m/throne_of_blood,Hideo OguniRyuzo KikushimaAkira KurosawaShinobu Hashimoto
Alexander Mackendrick,ClassicsDrama,NR,98%,96 minutes,United Artists,"Jun 27, 1957",Sweet Smell of Success,https://www.rottentomatoes.com/m/sweet_smell_of_success,Clifford OdetsErnest Lehman
Ishir Honda,Action & AdventureArt House & InternationalHorrorScience Fiction & Fantasy,NR,93%,98 minutes,Rialto Pictures,"Jan 1, 1956",Gojira,https://www.rottentomatoes.com/m/gojira,Ishir Honda
Otto Preminger,ClassicsDramaMystery & Suspense,G,100%,160 minutes,Sony Pictures Home Entertainment,"Jul 1, 1959",Anatomy of a Murder,https://www.rottentomatoes.com/m/anatomy_of_a_murder,Wendell Mayes
Fred WilcoxFred McLeod Wilcox,ClassicsDramaMystery & SuspenseScience Fiction & Fantasy,G,98%,98 minutes,MGM Home Entertainment,"Mar 15, 1956",Forbidden Planet,https://www.rottentomatoes.com/m/forbidden_planet,Cyril Hume
Alfred Hitchcock,ClassicsMystery & Suspense,NR,99%,136 minutes,Turner Entertainment,"Sep 17, 1959",North by Northwest,https://www.rottentomatoes.com/m/north_by_northwest,Ernest Lehman
John Ford,Action & AdventureClassicsDramaWestern,PG,100%,119 minutes,Warner Bros. Pictures,"Mar 13, 1956",The Searchers,https://www.rottentomatoes.com/m/searchers,Frank S. NugentWinton C. HochWinton Hoch
Orson Welles,ClassicsDramaMystery & Suspense,PG-13 (for some violence and drug content),96%,95 minutes,October Films,"May 21, 1958",Touch of Evil,https://www.rottentomatoes.com/m/1021749_touch_of_evil,Orson Welles
Akira Kurosawa,Action & AdventureArt House & InternationalClassicsDrama,G,100%,204 minutes,Columbia Pictures,"Nov 19, 1956",Seven Samurai (Shichinin no Samurai),https://www.rottentomatoes.com/m/seven_samurai_1956,Akira KurosawaShinobu HashimotoHideo Oguni
Alfred Hitchcock,ClassicsMystery & SuspenseRomance,"PG (for some action violence, mild suggestive material and smoking)",95%,106 minutes,Paramount Pictures,"Aug 4, 1955",To Catch a Thief,https://www.rottentomatoes.com/m/to_catch_a_thief,John Michael Hayes
Nicholas Ray,ClassicsDrama,PG-13 (for some violence and sexual content.),96%,111 minutes,Warner Bros. Pictures,"Oct 27, 1955",Rebel Without a Cause,https://www.rottentomatoes.com/m/rebel_without_a_cause,Stewart SternNicholas RayIrving Shulman
Satyajit Ray,Art House & InternationalDrama,NR,98%,126 minutes,Sony Pictures Classics,"Oct 28, 2003",Pather Panchali,https://www.rottentomatoes.com/m/pather_panchali,
Charles Laughton,DramaMystery & Suspense,PG,98%,93 minutes,United Artists,"Jan 1, 1955",The Night of the Hunter,https://www.rottentomatoes.com/m/night_of_the_hunter,James Agee
Elia Kazan,ClassicsDramaRomance,NR,98%,108 minutes,Sony Pictures,"Jul 28, 1954",On the Waterfront,https://www.rottentomatoes.com/m/on_the_waterfront,Budd Schulberg
Sidney Lumet,ClassicsDrama,NR,100%,95 minutes,Criterion Collection,"Apr 13, 1957",12 Angry Men (Twelve Angry Men),https://www.rottentomatoes.com/m/1000013_12_angry_men,Reginald Rose
Yasujiro Ozu,Art House & InternationalDrama,G,100%,134 minutes,BFI Production,"Nov 3, 1953",Tokyo Story (Tôkyô monogatari),https://www.rottentomatoes.com/m/tokyo_story,Kôgo NodaYasujiro Ozu
Henri-Georges Clouzot,Art House & InternationalDramaMystery & Suspense,NR,100%,138 minutes,Janus Films,"Jan 1, 1953",The Wages of Fear,https://www.rottentomatoes.com/m/wages_of_fear,Henri-Georges ClouzotJerome Geronimi
Don Siegel,ClassicsMystery & SuspenseScience Fiction & Fantasy,PG,98%,80 minutes,Republic Pictures Home Video,"Jan 1, 1956",Invasion of the Body Snatchers,https://www.rottentomatoes.com/m/1010678_invasion_of_the_body_snatchers,Daniel Mainwaring
Stanley DonenGene Kelly,ClassicsComedyMusical & Performing ArtsRomance,G,100%,102 minutes,MGM,"Jan 1, 1952",Singin' in the Rain,https://www.rottentomatoes.com/m/singin_in_the_rain,Betty ComdenAdolph Green
Henri-Georges Clouzot,Mystery & Suspense,NR,95%,107 minutes,Kino Lorber Inc.,"Jan 1, 1955",Diabolique (Les Diaboliques),https://www.rottentomatoes.com/m/1032980_diabolique,Henri-Georges ClouzotRené MassonJerome GeronimiFrederic Grendel
Alfred Hitchcock,ClassicsDramaMystery & Suspense,PG (adult situations/language),100%,115 minutes,Paramount Pictures,"Sep 1, 1954",Rear Window,https://www.rottentomatoes.com/m/1017289_rear_window,John Michael Hayes
Fred Zinnemann,Mystery & SuspenseWestern,PG,96%,85 minutes,United Artists,"Jul 24, 1952",High Noon,https://www.rottentomatoes.com/m/1046060_high_noon,Carl Foreman
Jean-Luc GoddardJean-Luc Godard,Art House & InternationalDrama,NR,94%,97 minutes,Royal Films International,"Mar 15, 1964",Band of Outsiders (Bande à part),https://www.rottentomatoes.com/m/band_of_outsiders,Jean-Luc Godard
Jean-Luc Godard,Art House & InternationalComedyDrama,PG,94%,102 minutes,Rialto Pictures,"Dec 18, 1964",Contempt,https://www.rottentomatoes.com/m/contempt,Jean-Luc Godard
Michelangelo Antonioni,DramaMystery & Suspense,NR,87%,111 minutes,MGM,"Dec 18, 1966",Blow-Up,https://www.rottentomatoes.com/m/blow_up_1966,Michelangelo AntonioniTonino GuerraEdward Bond
Lewis Gilbert,Action & AdventureMystery & Suspense,"PG (adult situations/language, violence)",72%,125 minutes,United Artists,"Jun 13, 1967",You Only Live Twice,https://www.rottentomatoes.com/m/you_only_live_twice,Roald DahlHarold Jack Bloom
Roger Vadim,Action & AdventureScience Fiction & Fantasy,PG,73%,98 minutes,Universal Pictures,"Oct 10, 1968",Barbarella,https://www.rottentomatoes.com/m/barbarella,Clement Biddle WoodTudor GatesVittori BonicelliRoger VadimTerry SouthernJean-Claude ForestClaude BruleVittorio BonicelliBrian Degas
Peter Hunt,Action & AdventureMystery & SuspenseRomance,PG,81%,144 minutes,United Artists,"Dec 18, 1969",On Her Majesty's Secret Service,https://www.rottentomatoes.com/m/on_her_majestys_secret_service,Richard MaibaumSimon Raven
Alejandro Jodorowsky,Art House & InternationalDramaSpecial Interest,NR,78%,95 minutes,Tartan Films,"Dec 18, 1970",El Topo,https://www.rottentomatoes.com/m/el_topo,Alejandro Jodorowsky
Robert Altman,ClassicsComedy,"PG (adult situations/language, violence)",85%,116 minutes,20th Century Fox,"Dec 31, 1970",M*A*S*H,https://www.rottentomatoes.com/m/mash,Ring Lardner Jr.
Guy Hamilton,Action & AdventureClassicsMystery & SuspenseScience Fiction & Fantasy,"PG (adult situations/language, violence)",64%,121 minutes,Twentieth Century Fox Home Entertainment,"Dec 17, 1971",Diamonds Are Forever,https://www.rottentomatoes.com/m/diamonds_are_forever,Richard MaibaumTom Mankiewicz
John Waters,Comedy,NC17,80%,95 minutes,New Line Cinema,"Mar 17, 1972",Pink Flamingos,https://www.rottentomatoes.com/m/pink_flamingos,John Waters
Guy Hamilton,Action & AdventureMystery & Suspense,"PG (adult situations/language, violence)",67%,121 minutes,MGM Home Entertainment,"Jun 27, 1973",Live and Let Die,https://www.rottentomatoes.com/m/live_and_let_die,Tom Mankiewicz
D.A. Pennebaker,DocumentaryMusical & Performing ArtsSpecial Interest,PG,73%,91 minutes,20th Century Fox Film Corporat,"Apr 1, 2003",Ziggy Stardust and the Spiders from Mars,https://www.rottentomatoes.com/m/ziggy_stardust_and_the_spiders_from_mars_1973,
Guy Hamilton,Action & AdventureDrama,"PG (adult situations/language, violence)",44%,123 minutes,MGM Home Entertainment,"Dec 18, 1974",The Man with the Golden Gun,https://www.rottentomatoes.com/m/man_with_the_golden_gun,Tom MankiewiczRichard Maibaum
Jim Sharman,ClassicsComedyCult MoviesHorrorMusical & Performing ArtsScience Fiction & Fantasy,R,80%,100 minutes,20th Century Fox,"Sep 25, 1975",The Rocky Horror Picture Show,https://www.rottentomatoes.com/m/rocky_horror_picture_show,Jim SharmanRichard O'Brien
Don Chaffey,Action & AdventureClassicsKids & FamilyScience Fiction & Fantasy,"G (adult situations/language, violence)",93%,104 minutes,Columbia Pictures,"Jun 19, 1963",Jason and the Argonauts,https://www.rottentomatoes.com/m/1010939_jason_and_the_argonauts,Beverley CrossJan Read
Nicolas Roeg,DramaScience Fiction & Fantasy,R,83%,140 minutes,Rialto Pictures,"Mar 28, 1976",The Man Who Fell to Earth,https://www.rottentomatoes.com/m/man_who_fell_to_earth,Paul Mayersberg
,ClassicsDramaTelevisionRomance,PG-13 (for mature themes),82%,193 minutes,MGM,"Jan 1, 1998",Doctor Zhivago,https://www.rottentomatoes.com/m/1006037_doctor_zhivago,
Sidney Lumet,ComedyDrama,R,92%,121 minutes,MGM/United Artists,"Nov 27, 1976",Network,https://www.rottentomatoes.com/m/network,Paddy Chayefsky
Alan J. Pakula,ClassicsDramaMystery & Suspense,PG,93%,138 minutes,Warner Home Video,"Apr 4, 1976",All the President's Men,https://www.rottentomatoes.com/m/all_the_presidents_men,William Goldman
Andrei Tarkovsky,Art House & InternationalDramaScience Fiction & Fantasy,PG,96%,165 minutes,Kino International,"Oct 6, 1976",Solaris,https://www.rottentomatoes.com/m/solaris_1976,Andrei TarkovskyFriedrich GorensteinFridrikh Gorenshtein
Martin Scorsese,DramaMystery & Suspense,"R (violence, language)",98%,112 minutes,Columbia Pictures,"Feb 8, 1976",Taxi Driver,https://www.rottentomatoes.com/m/taxi_driver,Paul Schrader
Sydney Pollack,ClassicsDramaMystery & SuspenseRomance,"R (adult situations/language, violence)",86%,120 minutes,Paramount Home Video,"Sep 24, 1975",Three Days of the Condor,https://www.rottentomatoes.com/m/three_days_of_the_condor,Lorenzo Semple Jr.David Rayfiel
Robert Altman,ClassicsDramaMusical & Performing Arts,R (N/A),93%,157 minutes,Paramount Pictures,"Jun 11, 1975",Nashville,https://www.rottentomatoes.com/m/nashville,Joan Tewkesbury
Sidney Lumet,ClassicsDrama,R,95%,150 minutes,WARNER BROTHERS PICTURES,"Sep 21, 1975",Dog Day Afternoon,https://www.rottentomatoes.com/m/dog_day_afternoon,Frank PiersonP.F. Kluge
Stanley Kubrick,ClassicsDrama,PG,94%,203 minutes,Warner Bros.,"Jan 1, 1975",Barry Lyndon,https://www.rottentomatoes.com/m/barry_lyndon,Stanley Kubrick
Milos Forman,ClassicsDrama,R (N/A),94%,134 minutes,United Artists,"Nov 19, 1975",One Flew Over the Cuckoo's Nest,https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest,Bo GoldmanLawrence Hauben
Terry GilliamTerry Jones,Comedy,PG,97%,92 minutes,Almi Cinema 5,"Jan 1, 1975",Monty Python and the Holy Grail,https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail,Graham ChapmanJohn CleeseEric IdleTerry GilliamTerry JonesMichael Palin
Richard Donner,ClassicsHorrorMystery & Suspense,R,86%,111 minutes,20th Century Fox,"Jun 25, 1976",The Omen,https://www.rottentomatoes.com/m/1015517_omen,David Seltzer
Steven Spielberg,Action & AdventureDramaMystery & Suspense,"PG (adult situations/language, violence)",97%,124 minutes,Universal Pictures,"Jun 1, 1975",Jaws,https://www.rottentomatoes.com/m/jaws,Howard SacklerCarl GottliebPeter Benchley
Orson Welles,DocumentaryMusical & Performing ArtsSpecial InterestTelevision,PG,88%,85 minutes,Saguenay Films,"Sep 1, 1974",F for Fake,https://www.rottentomatoes.com/m/f_for_fake,Orson Welles
